time,true_sector,true_aprox_distance,true_n_drones,true_n_protocols,true_protocol_types,likelihood,decission,distance,Fc,deviceserial,sectorid,sector_v,uuid,macAP,manufacturerAP,macClient,manufacturerClient,protocolType,threshold,shooting_ratio,power,latitude,longitude,altitude,droneID,operatorId,drone_latitude,drone_longitude,drone_altitude,operator_latitude,operator_longitude,drone_ID,operator_ID,serial_number,drone_type,height,speed,direction,vertical_speed,object_id,north_speed,east_speed
2025-10-09 16:51:35.023780,,,,,,[-1],[-1],[],2410560742.5500736,,1,,,,,,,Skylink,,,-67.62969343342274,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:51:35.124750,,,,,,[-1],[-1],[],2410450942.8431854,,1,,,,,,,Skylink,,,-67.0110346041079,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:51:35.929526,,,,,,[-1],[-1],[],2410428431.85149,,1,,,,,,,Skylink,,,-64.97492171557403,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:51:36.030963,,,,,,[-1],[-1],[],2410515720.566683,,1,,,,,,,Skylink,,,-64.04377804700982,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:51:54.487100,,,,,,[-1],[-1],[],5787016277.479238,,1,,,,,,,Skylink,,,-59.48827291034249,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:00.707677,,,,,,[-1],[-1],[],2434515192.965315,,1,,,,,,,Skylink,,,-61.959636460441814,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:00.809127,,,,,,[-1],[-1],[],2443516834.3917933,,1,,,,,,,Skylink,,,-61.763091953050655,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:01.311848,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-57.84177410598077,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:02.516513,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-58.51223111517291,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:03.521151,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-58.26747458366007,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:05.630777,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-57.72025631902249,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:06.535467,,,,,,[-1],[-1],[],5805047581.8270645,,2,,,,,,,Skylink,,,-58.34486133015754,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:08.039626,,,,,,[-1],[-1],[],2416528910.6008797,,1,,,,,,,Skylink,,,-64.5510381501854,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:15.463767,,,,,,[-1],[-1],[],2443539345.383488,,1,,,,,,,Skylink,,,-61.46924733703401,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:17.671537,,,,,,[-1],[-1],[],5804935026.868588,,1,,,,,,,Skylink,,,-59.04750927889006,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:21.384911,,,,,,[-1],[-1],[],2452501475.329751,,1,,,,,,,Skylink,,,-63.83477686555706,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:22.188342,,,,,,[-1],[-1],[],5804980048.851978,,1,,,,,,,Skylink,,,-58.37019398387788,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:23.491583,,,,,,[-1],[-1],[],5845297234.978016,,1,,,,,,,Skylink,,,-58.37152429693926,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:24.996620,,,,,,[-1],[-1],[],5804957537.860283,,1,,,,,,,Skylink,,,-58.065316917055554,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:25.098366,,,,,,[-1],[-1],[],5733026712.261847,,4,,,,,,,Skylink,,,-60.01847791691582,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:26.003097,,,,,,[-1],[-1],[],5814839863.21446,,1,,,,,,,Skylink,,,-59.819767353754465,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:27.207611,,,,,,[-1],[-1],[],5777966858.817782,,1,,,,,,,Skylink,,,-58.282518611008484,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:28.814264,,,,,,[-1],[-1],[],2470732623.351246,,4,,,,,,,Skylink,,,-70.31669987128821,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:33.829337,,,,,,[-1],[-1],[],2432916912.5549583,,4,,,,,,,Ocusync,,,-65.7158756913389,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:35.534719,,,,,,[-1],[-1],[],5804822471.910112,,4,,,,,,,Skylink,,,-59.87092321408488,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:41.150226,,,,,,[-1],[-1],[],2417696726.9174404,,4,,,,,,,Ocusync,,,-65.96833153052037,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:41.651341,,,,,,[-1],[-1],[],2407456980.947728,,1,,,,,,,Skylink,,,-67.81223294000098,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:48.167090,,,,,,[-1],[-1],[],2452659052.271617,,4,,,,,,,Skylink,,,-69.26009333323822,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:49.871540,,,,,,[-1],[-1],[],5844959570.102589,,1,,,,,,,Skylink,,,-58.165094311907325,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:51.075005,,,,,,[-1],[-1],[],2434222550.073278,,4,,,,,,,Skylink,,,-69.81153133531323,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:51.175458,,,,,,[-1],[-1],[],5822245979.482169,,1,,,,,,,Skylink,,,-57.80913725700788,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:51.276144,,,,,,[-1],[-1],[],2443584367.3668785,,4,,,,,,,Skylink,,,-68.98043979082269,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:51.779733,,,,,,[-1],[-1],[],5805002559.843674,,1,,,,,,,Skylink,,,-57.501659218544546,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:52.381554,,,,,,[-1],[-1],[],5805002559.843674,,1,,,,,,,Skylink,,,-57.514172881386415,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:53.283833,,,,,,[-1],[-1],[],5804980048.851978,,1,,,,,,,Skylink,,,-57.560226506497074,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:54.185948,,,,,,[-1],[-1],[],5742166174.890083,,1,,,,,,,Skylink,,,-57.612498893752814,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:54.486764,,,,,,[-1],[-1],[],5804980048.851978,,1,,,,,,,Skylink,,,-58.10440604472214,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 16:52:55.188836,,,,,,[-1],[-1],[],5804980048.851978,,1,,,,,,,Skylink,,,-57.724035395320115,,,,,,,,,,,,,,,,,,,,,,
