time,true_sector,true_aprox_distance,true_n_drones,true_n_protocols,true_protocol_types,likelihood,decission,distance,Fc,deviceserial,sectorid,sector_v,uuid,macAP,manufacturerAP,macClient,manufacturerClient,protocolType,threshold,shooting_ratio,power,latitude,longitude,altitude,droneID,operatorId,drone_latitude,drone_longitude,drone_altitude,operator_latitude,operator_longitude,drone_ID,operator_ID,serial_number,drone_type,height,speed,direction,vertical_speed,object_id,north_speed,east_speed
2025-10-09 16:52:17.671537,,,,,,[-1],[-1],[],5804935026.868588,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-58.13731949079876,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 16:52:51.276144,,,,,,[-1],[-1],[],2443584367.3668785,,1,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-60.05895139301211,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 16:53:03.516445,,,,,,[-1],[-1],[],2452523986.321446,,1,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-58.72220601471103,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 16:53:12.464840,,,,,,[-1],[-1],[],5805002559.843674,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-54.69507428584864,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 16:53:29.031441,,,,,,[-1],[-1],[],5804980048.851978,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-57.26283090389446,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 16:55:09.051825,,,,,,[-1],[-1],[],5805002559.843674,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-61.2676594745267,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 16:55:19.398211,,,,,,[-1],[-1],[],5805002559.843674,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-61.06789350061416,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 16:55:30.240138,,,,,,[-1],[-1],[],5805002559.843674,,1,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-57.54637765626707,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 16:55:41.172614,,,,,,[-1],[-1],[],5805002559.843674,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-59.29087726622114,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 16:55:55.237118,,,,,,[-1],[-1],[],2416483888.617489,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-58.435687706089084,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 16:57:12.679923,,,,,,[-1],[-1],[],2443494323.400098,,1,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-60.778341295584376,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
2025-10-09 16:57:36.157911,,,,,,[-1],[-1],[],5805002559.843674,,1,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-59.998027488719146,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,
