time,true_sector,true_aprox_distance,true_n_drones,true_n_protocols,true_protocol_types,likelihood,decission,distance,Fc,deviceserial,sectorid,sector_v,uuid,macAP,manufacturerAP,macClient,manufacturerClient,protocolType,threshold,shooting_ratio,power,latitude,longitude,altitude,droneID,operatorId,drone_latitude,drone_longitude,drone_altitude,operator_latitude,operator_longitude,drone_ID,operator_ID,serial_number,drone_type,height,speed,direction,vertical_speed,object_id,north_speed,east_speed,evento
2025-10-09 16:52:17.671537,,,,,,[-1],[-1],[],5804935026.868588,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-58.13731949079876,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,1
2025-10-09 16:53:03.617184,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-55.05656870270294,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:04.620741,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-54.00524588872423,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:05.725230,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-54.91308537712087,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:06.732359,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-56.09227676641984,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:07.940167,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-55.50704674701698,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:09.046297,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-52.947075201006,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:10.051810,,,,,,[-1],[-1],[],5805745422.569614,,2,,,,,,,Skylink,,,-53.581052012397365,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:11.157539,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-55.45824359140089,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:12.464840,,,,,,[-1],[-1],[],5805002559.843674,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-54.69507428584864,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,2
2025-10-09 16:53:12.567732,,,,,,[-1],[-1],[],5805700400.586224,,2,,,,,,,Skylink,,,-53.38200103087181,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:15.482213,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-58.793480509869354,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:17.691769,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-59.613011170942215,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:29.031441,,,,,,[-1],[-1],[],5804980048.851978,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-57.26283090389446,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,2
2025-10-09 16:54:27.006413,,,,,,[-1],[-1],[],2452161055.202736,,2,,,,,,,Skylink,,,-67.6296872299315,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:54:27.106998,,,,,,[-1],[-1],[],2443474567.6599903,,2,,,,,,,Skylink,,,-65.11802267441213,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:54:28.109657,,,,,,[-1],[-1],[],5804957537.860283,,2,,,,,,,Skylink,,,-59.378981469605876,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:54:30.314518,,,,,,[-1],[-1],[],5804957537.860283,,2,,,,,,,Skylink,,,-59.60846709731566,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:09.051825,,,,,,[-1],[-1],[],5805002559.843674,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-61.2676594745267,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,2
2025-10-09 16:55:09.657862,,,,,,[-1],[-1],[],2443519589.6433806,,2,,,,,,,Skylink,,,-63.63760066989417,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:09.760250,,,,,,[-1],[-1],[],2452521231.0698586,,2,,,,,,,Skylink,,,-64.35599352481044,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:11.268831,,,,,,[-1],[-1],[],5804980048.851978,,2,,,,,,,Skylink,,,-59.36115574267176,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:12.271142,,,,,,[-1],[-1],[],5845882520.762091,,2,,,,,,,Skylink,,,-60.84117710022142,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:13.473738,,,,,,[-1],[-1],[],2425690884.220811,,2,,,,,,,Skylink,,,-67.57653183392199,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
